STA,datetime,Alnus,Betula,Quercus,Poaceae,alnus,betula,carpinus,corylus,cupressus,fagus,fraxinus,pinaceae,platanus,poaceae,populus,quercus,taxus,ulmus,PM10,mean_wind_dir,mean_wind_vel,max_wind_vel,sum_prec,mean_temp,max_temp,mean_RH,min_RH,max_RH,year
Basel,2023-01-01,NaN,NaN,NaN,NaN,16.94,6.67,0.36,35.72,4.12,0.33,2.00,0.11,0.59,38.83,2.00,3.90,2.93,7.17,21.9,97.00,2.80,9.50,0.00,11.40,17.10,76.10,56.00,92.00,2023.00
Basel,2023-01-02,NaN,NaN,NaN,NaN,9.72,7.38,0.91,51.44,4.42,0.17,1.40,0.11,0.77,38.33,3.35,5.05,3.27,7.63,9.4,129.00,2.10,14.10,3.10,10.10,15.30,76.60,45.80,92.90,2023.00
Basel,2023-01-03,NaN,NaN,NaN,NaN,0.28,2.38,0.00,0.00,2.94,0.17,0.00,0.00,0.68,9.00,0.30,0.97,2.67,0.00,5.8,149.00,0.80,3.90,0.10,6.90,9.60,92.00,78.30,100.00,2023.00
Basel,2023-01-04,1.00,0.00,0.00,1.00,3.33,4.29,0.73,9.14,38.28,3.83,0.00,0.84,6.78,108.67,1.20,3.01,8.73,2.24,8.0,120.00,1.70,9.20,0.00,6.40,12.20,87.50,70.90,100.00,2023.00
Basel,2023-01-05,1.00,0.00,0.00,0.00,2.22,2.38,2.73,6.29,3.53,0.17,0.80,0.05,0.27,31.50,0.60,1.95,1.37,2.39,2.1,243.00,2.50,11.50,0.00,11.00,12.60,80.00,71.40,94.20,2023.00
Basel,2023-01-06,1.00,0.00,0.00,0.00,0.83,0.71,0.36,0.57,0.59,0.17,0.00,0.00,0.14,6.50,0.55,0.80,1.30,0.15,3.1,207.00,1.50,4.90,0.00,8.50,10.80,88.00,80.50,97.40,2023.00
Basel,2023-01-07,7.00,0.00,0.00,0.00,12.08,10.00,2.18,57.44,6.18,0.33,3.00,0.11,0.45,49.00,3.00,4.69,2.27,10.10,9.2,102.00,2.50,8.30,0.00,7.80,11.80,79.80,59.70,93.10,2023.00
Basel,2023-01-08,0.00,0.00,0.00,0.00,2.22,1.91,0.73,9.72,3.83,0.00,0.80,0.00,0.36,10.83,0.55,1.24,1.23,1.93,10.0,104.00,2.20,7.40,10.70,6.40,7.80,93.10,84.80,97.30,2023.00
Basel,2023-01-09,4.00,0.00,0.00,0.00,1.81,2.14,1.46,7.43,2.80,0.00,0.80,0.21,0.36,19.83,0.60,1.33,1.50,2.16,2.4,241.00,4.50,16.70,6.70,6.20,8.80,76.00,57.20,96.00,2023.00
Basel,2023-01-10,0.00,0.00,0.00,0.00,2.92,3.33,0.55,7.14,0.74,0.00,0.60,0.05,0.55,9.50,1.30,1.77,2.50,1.77,5.1,238.00,2.60,11.70,0.00,5.60,8.40,69.20,45.70,84.70,2023.00
Basel,2023-01-11,1.00,0.00,0.00,0.00,2.36,3.10,0.73,9.14,1.33,0.17,0.60,0.00,0.59,12.67,1.40,2.21,2.87,1.39,5.5,210.00,3.00,11.40,1.40,7.50,10.80,80.50,70.10,91.30,2023.00
Basel,2023-01-12,3.00,0.00,0.00,0.00,8.33,4.53,5.46,32.86,5.01,0.17,1.80,0.16,0.27,67.00,1.75,5.31,1.33,6.63,2.8,239.00,4.10,13.20,0.00,9.60,11.20,59.80,53.40,79.60,2023.00
Basel,2023-01-13,0.00,0.00,0.00,0.00,7.08,5.95,1.64,21.15,10.60,0.17,5.00,0.11,0.23,99.17,1.55,1.68,2.73,4.86,1.9,238.00,4.10,14.80,2.80,9.00,11.60,71.00,52.40,89.80,2023.00
Basel,2023-01-14,5.00,0.00,0.00,0.00,7.22,3.81,0.73,27.43,1.62,0.17,6.20,0.05,0.50,20.83,1.65,3.28,1.67,3.78,5.3,169.00,2.60,15.40,0.40,8.50,14.00,70.10,50.50,87.20,2023.00
Basel,2023-01-15,0.00,0.00,0.00,0.00,6.81,4.29,1.82,16.29,12.51,0.00,8.40,0.16,0.64,41.50,1.70,2.30,7.87,2.24,1.2,NaN,5.20,18.60,2.60,6.80,14.20,70.30,51.90,91.00,2023.00
Basel,2023-01-16,3.00,0.00,0.00,0.00,5.14,5.95,0.73,11.43,3.24,0.67,6.80,0.37,0.96,18.33,1.85,3.72,9.87,2.16,1.9,NaN,5.30,21.90,2.00,4.00,7.00,74.00,50.00,NaN,2023.00
Basel,2023-01-17,0.00,0.00,0.00,0.00,0.14,1.67,0.00,0.29,1.47,0.00,1.20,0.00,0.32,3.33,0.40,0.44,1.63,0.15,5.3,NaN,1.80,11.20,4.00,1.20,3.20,92.00,71.00,99.00,2023.00
Basel,2023-01-18,0.00,0.00,0.00,0.00,0.14,3.10,0.00,0.29,0.59,0.00,0.20,0.11,0.73,3.83,0.70,0.27,4.33,0.08,7.5,263.00,2.00,6.90,2.30,0.40,1.90,88.70,82.00,97.00,2023.00
Basel,2023-01-19,0.00,0.00,0.00,0.00,1.11,4.53,0.00,0.57,0.74,0.33,2.20,0.05,0.77,3.33,1.50,1.68,4.63,0.00,9.3,172.00,1.30,5.70,0.00,-0.80,1.90,78.30,53.30,92.50,2023.00
Basel,2023-01-20,0.00,0.00,0.00,0.00,0.42,3.33,0.18,0.57,0.44,0.00,0.20,0.16,0.50,2.83,1.20,1.51,4.23,0.23,14.7,194.00,1.20,3.90,0.00,-1.60,2.30,80.80,63.30,90.90,2023.00
Basel,2023-01-21,0.00,0.00,0.00,0.00,3.89,4.05,0.18,5.72,1.18,0.50,3.40,0.21,0.82,11.00,1.85,2.39,3.33,0.62,18.3,35.00,2.20,7.90,0.00,-2.30,0.30,82.00,68.40,89.70,2023.00
Basel,2023-01-22,0.00,0.00,0.00,0.00,0.28,0.48,0.00,0.29,1.91,0.33,1.20,0.00,0.36,1.67,0.30,0.27,0.90,0.15,13.2,343.00,1.50,6.60,0.00,-0.50,0.50,87.10,79.30,93.10,2023.00
Basel,2023-01-23,1.00,0.00,0.00,0.00,1.94,6.67,0.18,7.72,1.33,0.33,1.40,0.05,1.00,9.50,1.75,3.81,6.57,1.31,14.2,51.00,1.90,11.90,0.10,1.00,2.40,78.10,58.50,94.00,2023.00
Basel,2023-01-24,0.00,0.00,0.00,0.00,0.83,3.33,0.00,1.14,1.18,0.00,0.80,0.00,0.68,3.67,1.00,1.24,4.27,0.31,12.5,65.00,1.80,8.60,0.00,2.80,3.70,82.10,73.20,93.30,2023.00
Basel,2023-01-25,1.00,0.00,0.00,0.00,0.14,2.14,0.00,0.00,0.74,0.17,0.20,0.05,0.45,4.17,1.00,0.71,4.80,0.00,19.5,333.00,1.00,4.50,0.30,1.90,2.70,93.30,86.00,97.00,2023.00
Basel,2023-01-26,0.00,0.00,0.00,0.00,0.28,2.62,0.00,0.57,0.29,0.00,0.40,0.05,0.55,2.67,0.70,1.33,3.70,0.00,17.0,330.00,1.80,6.30,0.00,-0.10,0.90,88.80,83.70,96.20,2023.00
Basel,2023-01-27,1.00,0.00,0.00,0.00,1.53,2.38,0.00,1.43,1.77,0.17,0.60,0.05,0.73,5.00,1.10,1.24,5.20,0.15,14.8,343.00,1.70,6.30,0.00,-0.50,0.80,81.40,72.40,88.10,2023.00
Basel,2023-01-28,0.00,0.00,0.00,0.00,1.39,2.62,0.00,0.86,0.15,0.17,0.00,0.00,0.50,4.83,0.35,0.80,2.90,0.31,11.0,54.00,1.50,9.70,0.00,1.10,2.30,72.00,56.10,87.20,2023.00
Basel,2023-01-29,0.00,0.00,0.00,0.00,0.83,1.19,0.00,0.57,1.32,0.00,0.40,0.00,0.32,2.17,0.50,0.62,1.53,0.08,14.3,278.00,1.20,4.10,0.00,-0.30,2.30,81.10,63.20,91.60,2023.00
Basel,2023-01-30,5.00,0.00,0.00,0.00,1.39,3.81,0.00,2.00,0.00,0.67,0.40,0.11,0.73,4.67,1.45,2.48,4.80,0.77,10.5,248.00,1.60,6.80,0.00,1.20,5.00,78.30,61.70,91.10,2023.00
Basel,2023-01-31,0.00,0.00,0.00,0.00,1.53,6.43,0.36,1.14,1.33,0.50,0.00,0.11,0.86,7.67,2.30,1.15,6.40,0.23,9.8,252.00,1.50,9.00,0.00,3.00,5.60,78.80,62.50,98.10,2023.00
Basel,2023-02-01,1.00,0.00,0.00,0.00,2.78,5.24,0.73,3.14,1.18,0.33,0.60,0.05,0.55,13.83,1.30,1.68,5.67,0.69,7.7,253.00,3.30,11.90,0.00,4.90,7.00,70.60,59.50,86.30,2023.00
Basel,2023-02-02,1.00,0.00,0.00,0.00,1.11,2.14,0.00,1.43,0.74,0.00,0.20,0.00,0.18,7.00,0.35,0.71,3.30,0.46,7.1,244.00,3.90,10.50,0.00,5.90,7.00,72.60,65.40,78.70,2023.00
Basel,2023-02-03,3.00,0.00,0.00,0.00,7.22,10.96,2.91,15.72,7.21,1.17,0.80,0.11,1.96,112.00,2.95,3.36,37.47,2.93,4.6,253.00,3.40,11.20,0.00,6.50,9.40,67.50,56.50,81.00,2023.00
Basel,2023-02-04,1.00,0.00,0.00,0.00,2.36,1.91,0.00,2.86,1.33,0.00,1.20,0.00,0.23,5.83,0.45,0.27,4.10,0.15,8.3,270.00,1.40,7.30,0.30,6.20,8.50,85.60,70.20,94.30,2023.00
Basel,2023-02-05,0.00,0.00,0.00,0.00,0.69,1.67,0.00,0.00,1.91,0.00,0.20,0.00,0.27,3.67,0.15,0.53,1.63,0.23,13.9,252.00,1.30,9.70,1.40,3.60,5.40,91.20,83.40,97.20,2023.00
Basel,2023-02-06,1.00,0.00,0.00,0.00,8.06,3.81,1.09,7.72,1.77,0.17,0.60,0.05,0.64,12.00,1.45,2.21,6.33,2.54,12.1,12.00,1.90,8.10,0.00,2.70,4.40,78.60,53.10,94.40,2023.00
Basel,2023-02-07,4.00,0.00,0.00,0.00,20.69,14.53,0.91,20.00,1.77,0.50,1.40,0.16,0.91,21.17,4.85,5.84,11.73,6.09,19.2,63.00,2.10,10.30,0.00,0.40,4.70,66.30,49.20,89.00,2023.00
Basel,2023-02-08,3.00,0.00,0.00,0.00,6.39,9.53,0.18,6.86,0.59,0.17,1.00,0.21,1.14,8.67,2.65,3.19,9.97,2.00,27.6,98.00,1.60,6.40,0.00,-1.40,3.70,70.40,43.80,90.40,2023.00
Basel,2023-02-09,3.00,0.00,0.00,0.00,6.39,9.29,0.00,10.57,1.33,0.50,0.80,0.05,1.23,10.33,3.40,3.19,12.03,1.93,37.2,119.00,1.50,5.50,0.00,-0.20,6.30,72.10,46.60,86.30,2023.00
Basel,2023-02-10,1.00,0.00,0.00,0.00,3.89,9.29,0.00,5.43,0.59,0.67,0.80,0.00,1.14,9.33,2.85,3.19,11.13,1.08,40.9,135.00,1.10,4.00,0.00,0.00,5.90,76.30,51.30,91.30,2023.00
Basel,2023-02-11,1.00,0.00,0.00,0.00,3.06,4.29,0.00,3.43,0.59,0.00,0.80,0.00,0.59,5.33,1.40,2.04,6.20,0.77,43.4,135.00,1.20,4.50,0.00,1.30,8.20,71.80,39.70,91.50,2023.00
Basel,2023-02-12,0.00,0.00,0.00,0.00,6.67,4.53,0.00,11.43,1.62,0.00,0.20,0.11,0.41,7.83,1.10,1.42,5.03,2.08,28.7,0.00,1.00,4.60,0.00,2.20,9.70,78.30,55.00,93.00,2023.00
Basel,2023-02-13,0.00,0.00,0.00,0.00,7.92,10.72,1.09,13.15,8.24,0.67,1.80,0.16,1.77,22.67,3.55,3.36,45.80,2.54,31.3,95.00,2.40,9.60,0.00,5.20,10.80,76.30,54.00,92.70,2023.00
Basel,2023-02-14,1.00,0.00,0.00,0.00,5.14,13.34,0.00,9.14,47.11,4.50,1.00,1.21,7.91,123.17,3.20,3.90,81.90,0.85,33.1,96.00,2.40,8.50,0.00,2.80,8.60,84.00,62.10,100.00,2023.00
Basel,2023-02-15,3.00,0.00,0.00,0.00,5.42,10.72,0.18,8.86,30.18,1.33,1.20,0.42,5.05,55.83,3.60,4.25,56.23,1.00,31.3,104.00,2.20,8.00,0.00,3.70,11.30,79.40,51.10,100.00,2023.00
Basel,2023-02-16,18.00,0.00,0.00,0.00,54.86,26.20,0.18,124.88,17.37,0.67,11.20,0.21,7.51,34.17,10.55,6.20,190.00,10.95,26.1,112.00,1.70,5.70,0.00,6.60,14.40,67.00,36.20,91.60,2023.00
Basel,2023-02-17,28.00,0.00,0.00,0.00,96.11,30.01,1.64,93.44,30.77,0.67,6.60,0.26,5.96,66.67,12.75,7.44,152.90,13.72,18.5,252.00,1.20,7.70,0.00,10.40,13.90,70.80,48.10,100.00,2023.00
Basel,2023-02-18,52.00,0.00,0.00,0.00,238.06,53.36,4.37,100.59,71.11,0.33,12.40,0.26,19.70,126.67,18.95,9.03,469.70,16.80,2.5,252.00,2.90,10.80,0.00,12.50,14.90,68.10,55.60,80.10,2023.00
Basel,2023-02-19,80.00,0.00,0.00,0.00,270.83,26.68,2.73,39.72,36.95,0.83,6.20,0.05,2.91,59.83,10.05,3.45,68.80,12.41,4.3,273.00,2.50,8.80,0.00,9.50,10.70,73.80,61.50,92.40,2023.00
Basel,2023-02-20,249.00,0.00,0.00,0.00,511.25,53.59,0.36,80.87,20.02,0.50,13.00,0.32,6.96,37.83,11.75,9.21,160.60,8.09,10.5,135.00,1.30,4.50,0.00,8.70,15.40,71.20,44.10,90.20,2023.00
Basel,2023-02-21,137.00,0.00,0.00,1.00,286.81,63.60,0.18,69.73,30.33,0.17,11.40,0.21,14.92,58.83,14.30,8.85,346.53,5.70,20.5,106.00,1.10,4.70,0.00,7.80,16.70,72.40,40.00,100.00,2023.00
Basel,2023-02-22,219.00,0.00,0.00,0.00,363.06,73.36,2.00,69.15,45.79,1.50,32.20,0.37,14.56,61.17,16.70,6.99,265.13,10.71,25.6,90.00,1.20,8.20,0.70,7.70,12.70,80.30,57.30,97.40,2023.00
Basel,2023-02-23,164.00,0.00,0.00,0.00,162.08,18.82,0.36,15.43,14.58,0.00,10.80,0.26,3.46,17.67,3.35,3.10,29.30,3.47,26.4,90.00,1.10,3.40,0.20,10.00,14.10,82.80,59.50,97.40,2023.00
Basel,2023-02-24,258.00,0.00,0.00,0.00,405.83,57.17,0.73,34.58,68.61,1.00,37.80,0.21,20.24,63.17,11.90,5.31,159.77,10.33,33.4,284.00,1.40,8.70,5.50,8.90,13.10,82.40,66.40,94.60,2023.00
Basel,2023-02-25,246.00,0.00,0.00,0.00,509.31,47.64,0.55,39.44,17.81,0.83,13.40,0.11,3.14,39.83,7.75,4.52,51.93,15.03,12.7,330.00,1.80,8.80,1.60,4.60,6.70,69.70,51.90,93.30,2023.00
Basel,2023-02-26,88.00,0.00,0.00,0.00,303.33,45.02,0.73,37.72,13.84,1.67,5.40,0.48,3.37,34.17,7.75,6.29,68.67,13.64,4.6,47.00,3.90,15.40,0.00,0.90,3.80,55.40,34.60,73.40,2023.00
Basel,2023-02-27,12.00,0.00,0.00,0.00,28.19,11.91,0.00,8.29,2.21,0.50,0.40,0.32,1.05,14.50,3.60,4.87,14.63,1.23,6.5,69.00,4.60,17.30,0.00,1.10,2.40,53.40,48.80,59.30,2023.00
Basel,2023-02-28,8.00,0.00,0.00,0.00,11.39,6.67,0.00,2.00,1.62,0.17,0.20,0.11,1.14,8.33,2.10,3.54,8.83,0.77,14.8,54.00,1.80,8.50,0.20,0.20,2.30,70.70,57.20,91.30,2023.00
Basel,2023-03-01,15.00,0.00,0.00,0.00,12.92,8.34,0.18,1.71,3.09,0.17,1.00,0.11,1.27,9.67,2.60,2.83,11.80,0.39,27.5,315.00,1.10,5.80,0.00,0.00,3.00,75.20,62.90,86.20,2023.00
Basel,2023-03-02,28.00,0.00,1.00,0.00,27.78,15.96,0.00,1.71,2.80,0.50,1.40,0.11,1.50,13.83,3.70,4.43,14.73,1.39,37.4,288.00,1.00,3.20,0.00,2.40,5.90,74.20,61.40,87.20,2023.00
Basel,2023-03-03,69.00,0.00,0.00,0.00,64.58,19.29,0.00,7.43,4.27,0.50,6.60,0.05,1.64,21.00,5.40,4.69,27.80,0.77,50.4,252.00,1.40,5.30,0.00,3.70,8.20,75.50,57.80,88.90,2023.00
Basel,2023-03-04,42.00,0.00,0.00,0.00,93.33,23.82,0.18,5.72,14.28,0.50,4.80,0.05,3.64,37.67,7.35,3.54,85.70,2.24,40.4,295.00,1.80,6.80,0.00,2.70,7.70,73.00,50.80,89.50,2023.00
Basel,2023-03-05,11.00,0.00,0.00,0.00,23.33,15.24,0.00,2.57,9.28,0.33,0.80,0.00,3.23,14.33,3.25,1.15,101.83,1.85,26.3,270.00,1.40,6.20,0.00,2.40,8.50,68.40,46.00,89.90,2023.00
Basel,2023-03-06,50.00,0.00,0.00,0.00,96.53,34.54,0.00,5.43,15.61,0.17,2.20,0.32,6.19,40.00,8.55,4.25,172.33,3.01,15.2,254.00,1.80,7.80,0.00,2.90,6.20,64.90,47.20,83.90,2023.00
Basel,2023-03-07,65.00,0.00,0.00,0.00,108.47,43.35,0.00,8.57,8.98,2.17,4.20,0.48,5.41,47.33,15.10,9.47,155.33,2.24,15.9,273.00,2.60,10.70,0.00,4.30,7.50,57.70,45.40,72.30,2023.00
Basel,2023-03-08,47.00,0.00,0.00,0.00,120.97,105.76,0.18,13.15,86.71,0.50,8.20,0.26,37.75,133.67,20.75,7.17,1172.37,3.31,14.7,233.00,4.50,19.30,4.50,8.80,14.80,68.10,53.70,95.20,2023.00
Basel,2023-03-09,83.00,0.00,0.00,0.00,169.31,78.84,0.18,61.73,67.13,2.17,10.80,0.32,29.79,120.67,20.10,10.54,796.03,8.17,4.7,256.00,4.20,23.60,7.90,12.70,17.40,58.60,29.70,90.80,2023.00
Basel,2023-03-10,14.00,0.00,0.00,0.00,48.33,16.67,0.18,6.57,26.50,0.67,7.20,0.37,3.64,48.83,9.45,5.49,87.87,5.40,3.6,244.00,5.70,20.60,2.50,8.80,11.60,68.70,50.50,89.60,2023.00
Basel,2023-03-11,0.00,0.00,0.00,0.00,2.50,1.91,0.00,0.29,1.47,0.00,0.40,0.00,0.05,2.67,0.50,0.62,2.73,0.00,4.6,238.00,1.40,7.30,3.00,3.20,5.40,83.70,68.20,97.60,2023.00
Basel,2023-03-12,23.00,0.00,0.00,0.00,31.81,5.00,0.18,3.71,6.04,0.17,4.00,0.00,1.00,28.33,2.35,0.89,23.67,3.01,7.3,230.00,2.20,11.00,2.50,8.50,13.70,76.90,52.70,95.80,2023.00
Basel,2023-03-13,NaN,NaN,NaN,NaN,50.69,30.73,0.55,33.72,24.59,1.67,7.20,0.37,14.78,50.50,8.60,5.40,288.63,7.17,7.2,209.00,3.10,22.20,11.00,13.90,23.40,64.70,31.10,89.50,2023.00
Basel,2023-03-14,NaN,NaN,NaN,NaN,12.64,10.48,0.36,4.29,21.94,1.83,2.20,0.48,1.32,39.33,7.25,4.43,26.67,5.63,1.9,247.00,4.30,15.20,2.60,8.90,12.00,68.00,49.60,85.60,2023.00
Basel,2023-03-15,NaN,NaN,NaN,NaN,3.06,10.72,0.00,2.29,0.74,0.33,0.80,0.21,1.27,9.83,3.25,4.69,11.27,0.93,3.9,275.00,1.80,7.90,0.00,4.90,10.00,64.00,36.50,90.80,2023.00
Basel,2023-03-16,NaN,NaN,NaN,NaN,4.58,9.53,0.00,5.72,3.39,0.83,2.20,0.00,0.82,13.67,4.10,4.16,19.17,3.93,8.3,94.00,3.00,10.70,0.00,7.30,14.10,56.70,34.60,87.20,2023.00
Basel,2023-03-17,NaN,NaN,NaN,NaN,33.19,24.06,2.73,14.29,18.70,1.83,6.20,0.48,2.37,57.33,14.60,8.15,39.20,15.96,12.9,102.00,2.10,8.70,0.00,10.70,18.00,56.40,33.50,79.40,2023.00
Basel,2023-03-18,NaN,NaN,NaN,NaN,36.25,28.11,5.28,10.29,153.85,0.67,28.60,0.48,2.50,138.17,20.20,5.05,48.03,16.73,11.2,180.00,1.30,5.50,0.00,11.50,17.90,57.70,31.60,88.20,2023.00
Basel,2023-03-19,NaN,NaN,NaN,NaN,13.06,9.77,2.37,2.57,32.24,0.67,27.40,0.11,3.64,69.33,6.25,2.83,17.50,7.86,8.9,129.00,1.20,8.40,10.20,10.00,14.00,77.00,53.00,96.90,2023.00
Basel,2023-03-20,NaN,NaN,NaN,NaN,4.17,6.91,2.55,1.14,1.62,2.50,18.40,0.11,1.86,17.83,2.25,4.87,9.77,1.31,3.9,225.00,1.10,4.40,0.00,9.50,14.10,74.10,51.30,95.00,2023.00
Basel,2023-03-21,1.00,8.00,3.00,0.00,55.14,18.58,20.38,3.14,15.31,4.67,78.60,0.42,2.18,92.67,7.50,6.82,13.67,7.71,8.8,90.00,1.20,5.00,0.00,10.50,16.80,69.60,47.50,92.20,2023.00
Basel,2023-03-22,3.00,8.00,7.00,1.00,108.33,28.11,83.33,12.29,31.36,15.83,239.80,1.27,3.55,220.00,12.30,18.24,23.00,11.95,9.7,76.00,1.60,7.30,0.00,12.80,19.70,62.50,37.50,90.90,2023.00
Basel,2023-03-23,0.00,5.00,3.00,1.00,102.78,46.21,63.86,19.15,40.78,27.83,536.20,2.16,5.28,227.17,26.75,19.92,35.37,15.26,12.6,117.00,1.60,7.80,0.00,14.60,18.30,59.90,41.70,74.10,2023.00
Basel,2023-03-24,1.00,4.00,1.00,0.00,57.22,28.35,69.14,15.15,32.09,38.50,262.80,2.43,3.59,260.00,17.00,20.98,23.10,9.56,4.0,232.00,4.40,16.00,4.00,12.90,18.60,64.70,39.20,82.50,2023.00
Basel,2023-03-25,NaN,NaN,NaN,NaN,8.33,8.81,28.38,3.71,9.13,23.00,64.00,0.84,1.73,103.83,3.50,9.92,5.67,0.93,3.5,244.00,4.30,20.50,5.80,9.80,13.80,66.50,46.30,93.40,2023.00
Basel,2023-03-26,NaN,NaN,NaN,NaN,6.94,8.10,13.46,1.71,8.54,11.83,60.40,0.53,1.55,67.67,1.85,5.49,4.10,0.85,3.8,241.00,3.60,18.30,3.60,9.00,14.90,72.00,37.90,90.30,2023.00
Basel,2023-03-27,NaN,NaN,NaN,NaN,10.69,11.91,11.64,4.29,7.36,7.33,53.40,0.37,1.27,55.33,3.90,7.26,7.13,0.93,5.4,299.00,2.90,10.50,0.70,5.80,8.80,64.80,37.70,90.50,2023.00
Basel,2023-03-28,1.00,3.00,0.00,0.00,11.94,12.15,4.55,3.43,3.68,3.33,98.80,0.26,1.91,23.83,1.80,4.78,7.57,1.00,7.3,103.00,1.80,6.50,0.00,7.20,12.30,57.90,36.50,91.20,2023.00
Basel,2023-03-29,0.00,71.00,3.00,0.00,79.72,110.28,166.12,24.00,29.30,35.00,525.00,4.80,23.88,326.00,19.15,36.04,50.60,13.57,15.6,112.00,1.80,9.00,0.00,13.30,20.80,51.30,28.50,69.30,2023.00
Basel,2023-03-30,0.00,167.00,9.00,1.00,89.58,129.34,190.13,33.72,124.55,49.67,678.00,6.07,20.51,842.33,36.10,45.51,34.53,25.44,18.3,248.00,2.90,15.60,3.30,15.00,18.70,58.90,37.40,89.30,2023.00
Basel,2023-03-31,1.00,68.00,0.00,3.00,26.25,32.87,33.30,8.00,49.32,15.83,143.20,1.21,4.55,245.83,8.85,12.22,12.70,5.09,6.9,250.00,5.10,20.00,8.10,11.90,17.10,66.50,35.40,90.00,2023.00
Basel,2023-04-01,0.00,33.00,4.00,0.00,8.19,4.29,2.18,1.14,7.66,1.33,48.80,0.16,0.36,28.33,0.80,1.33,1.67,0.85,1.6,239.00,4.40,14.90,3.80,9.30,12.40,73.20,59.40,88.50,2023.00
Basel,2023-04-02,NaN,NaN,NaN,NaN,7.78,8.34,4.18,1.43,6.04,2.00,66.20,0.05,0.73,27.83,1.50,2.21,1.80,0.54,2.4,281.00,1.90,7.00,1.30,9.20,12.90,78.50,56.90,95.00,2023.00
Basel,2023-04-03,NaN,NaN,NaN,NaN,13.47,13.10,2.37,4.00,7.36,1.50,43.60,0.11,1.18,38.00,2.00,3.54,3.17,1.31,6.4,50.00,2.60,10.20,2.10,5.10,8.40,65.40,43.00,95.30,2023.00
Basel,2023-04-04,0.00,32.00,1.00,0.00,18.61,35.97,4.55,4.86,2.65,5.67,78.40,0.74,3.41,55.67,5.70,11.78,15.77,1.62,8.8,56.00,2.10,9.20,0.00,4.90,10.20,49.10,30.80,76.90,2023.00
Basel,2023-04-05,0.00,5.00,0.00,0.00,11.53,25.01,4.37,3.71,2.80,2.17,46.60,0.32,1.77,40.17,5.30,7.79,15.43,0.69,13.9,254.00,1.30,6.00,0.00,4.30,11.00,57.00,28.90,84.00,2023.00
Basel,2023-04-06,0.00,7.00,1.00,0.00,29.17,49.54,21.65,9.43,6.92,7.67,127.80,1.11,3.32,95.33,4.95,9.65,13.90,2.24,11.9,252.00,1.70,7.10,0.00,7.60,13.60,51.90,30.30,76.30,2023.00
Basel,2023-04-07,0.00,4.00,0.00,0.00,11.81,20.25,2.37,4.57,23.70,0.83,68.80,0.16,1.55,85.00,3.90,4.96,3.77,1.85,3.1,218.00,1.70,7.90,7.90,6.40,8.80,79.90,54.60,92.80,2023.00
Basel,2023-04-08,NaN,NaN,NaN,NaN,10.83,20.96,1.27,4.86,13.10,1.17,49.20,0.11,1.96,41.17,7.30,3.36,4.13,3.39,7.4,14.00,1.00,6.00,0.00,8.20,12.30,77.50,55.70,96.60,2023.00
Basel,2023-04-09,NaN,NaN,NaN,NaN,26.67,58.60,15.10,8.00,11.19,7.33,204.00,0.69,7.73,70.17,4.15,10.98,5.27,2.39,11.2,93.00,2.00,8.20,0.00,9.50,15.40,60.90,37.80,89.80,2023.00
Basel,2023-04-10,NaN,NaN,NaN,NaN,70.97,176.98,75.51,19.72,52.12,12.17,330.20,2.16,39.80,263.33,17.15,43.47,18.50,9.56,7.5,108.00,1.80,8.60,0.00,12.20,17.50,53.90,39.00,76.80,2023.00
Basel,2023-04-11,NaN,NaN,NaN,NaN,49.31,115.05,14.74,11.14,67.43,8.50,290.40,1.32,52.95,138.00,11.55,42.94,26.13,6.09,4.1,257.00,2.90,14.40,2.70,11.20,15.50,65.90,43.60,89.10,2023.00
Basel,2023-04-12,0.00,34.00,24.00,1.00,15.14,26.92,3.46,5.43,91.87,5.67,193.00,0.53,25.70,28.67,3.00,9.47,19.37,2.16,4.3,216.00,3.90,16.50,8.00,9.90,15.20,78.70,51.50,92.20,2023.00
Basel,2023-04-13,0.00,34.00,27.00,1.00,10.14,27.15,2.55,3.14,29.74,4.17,100.00,0.37,11.46,33.33,2.10,18.59,9.90,1.39,5.7,243.00,2.60,10.80,0.40,7.40,10.60,69.10,52.00,89.00,2023.00
Basel,2023-04-14,0.00,33.00,26.00,0.00,10.14,37.40,6.55,4.57,5.74,9.67,78.20,0.63,10.51,35.83,2.60,19.83,9.80,1.00,8.3,124.00,1.20,7.00,0.00,8.70,14.20,60.90,29.70,92.70,2023.00
Basel,2023-04-15,0.00,50.00,72.00,0.00,15.28,39.06,4.00,5.14,18.84,8.33,129.40,0.32,19.56,54.17,2.65,32.49,11.80,2.24,5.1,180.00,1.70,8.00,6.10,8.50,12.20,77.20,57.20,93.10,2023.00
Basel,2023-04-16,0.00,130.00,11.00,0.00,12.92,32.87,0.00,2.86,13.54,0.50,31.40,0.11,1.96,19.17,2.75,3.19,4.33,0.93,8.1,284.00,1.10,6.30,3.00,8.10,9.60,89.20,79.80,95.40,2023.00
Basel,2023-04-17,0.00,20.00,68.00,0.00,3.47,12.15,0.55,1.71,9.86,14.33,28.60,0.32,5.50,24.50,1.30,28.51,7.20,1.08,10.6,343.00,1.50,9.10,1.00,9.40,13.90,85.90,66.10,95.60,2023.00
Basel,2023-04-18,0.00,54.00,113.00,4.00,11.11,33.59,2.73,6.29,11.34,29.83,66.80,0.32,9.14,52.00,4.50,69.77,15.13,2.24,11.5,333.00,1.60,6.40,0.00,9.90,15.10,78.20,60.40,93.90,2023.00
